CaseID,Task,Concept,A1_Destination,A2_Cruise.Line,# of Days,A4_Stateroom,A5 Ship Amenities (Age),A6 Price (Per Person/Day),Response
5,4,1,3,2,4,3,2,4,1
5,4,2,1,5,4,1,2,1,0
5,4,3,4,1,3,2,1,2,0
5,4,4,2,4,1,3,1,3,0
5,5,1,2,3,4,1,2,2,0
5,5,2,5,1,2,1,1,1,0
5,5,3,6,6,3,2,1,5,0
5,5,4,5,2,1,3,2,5,1
5,6,1,1,4,5,2,2,4,0
5,6,2,4,2,5,1,1,1,0
5,6,3,6,1,3,3,1,2,1
5,6,4,3,3,1,2,2,3,0
5,7,1,1,5,3,1,2,5,0
5,7,2,4,3,4,1,1,2,0
5,7,3,6,4,2,3,2,4,1
5,7,4,5,5,2,2,1,1,0
5,8,1,1,5,4,2,1,5,0
5,8,2,3,1,1,3,2,3,0
5,8,3,5,6,3,2,1,1,1
5,8,4,2,1,5,1,2,3,0
5,9,1,4,6,2,3,2,4,0
5,9,2,2,3,4,2,1,5,0
5,9,3,6,2,2,3,2,1,1
5,9,4,3,4,1,1,1,2,0
5,10,1,3,4,2,1,1,5,0
5,10,2,4,5,1,3,2,1,1
5,10,3,3,1,5,3,1,3,0
5,10,4,2,3,3,2,2,4,0
5,13,1,1,1,2,1,1,4,0
5,13,2,6,3,2,3,1,2,1
5,13,3,4,6,3,3,2,5,0
5,13,4,3,4,4,3,2,1,0
5,14,1,3,5,4,3,1,3,0
5,14,2,5,4,4,1,2,4,0
5,14,3,2,2,1,2,1,2,1
5,14,4,4,5,5,2,2,5,0
7,1,1,4,2,1,1,2,3,0
7,1,2,5,5,4,2,1,1,0
7,1,3,1,6,2,3,2,2,0
7,1,4,2,4,3,2,1,3,1
7,2,1,3,5,2,1,1,4,0
7,2,2,4,4,1,3,2,1,0
7,2,3,2,6,5,3,1,3,1
7,2,4,6,3,1,1,2,5,0
7,3,1,5,2,3,1,2,4,0
7,3,2,6,6,5,2,1,2,0
7,3,3,3,3,5,3,1,5,1
7,3,4,1,1,4,2,2,5,0
7,4,1,3,5,3,3,1,2,0
7,4,2,6,2,1,1,1,1,0
7,4,3,1,2,4,3,2,3,0
7,4,4,2,3,2,2,2,4,1
7,5,1,6,1,4,1,2,5,0
7,5,2,4,5,1,2,1,4,0
7,5,3,2,4,5,1,2,3,1
7,5,4,3,6,4,3,1,1,0
7,6,1,1,3,3,1,1,2,1
7,6,2,4,6,2,2,2,5,0
7,6,3,5,2,1,2,2,2,0
7,6,4,5,1,2,3,1,3,0
7,7,1,6,4,5,2,1,1,0
7,7,2,1,5,3,1,2,4,0
7,7,3,2,6,4,3,1,1,1
7,7,4,3,1,1,3,2,2,0
7,9,1,3,1,5,1,2,5,0
7,9,2,5,5,1,2,1,2,0
7,9,3,1,2,3,3,1,4,0
7,9,4,2,3,4,2,1,3,1
7,11,1,1,5,2,1,1,1,0
7,11,2,4,1,1,3,2,5,0
7,11,3,5,4,5,3,1,4,0
7,11,4,2,5,3,2,2,5,1
7,12,1,3,6,3,2,2,4,0
7,12,2,2,2,1,1,1,4,1
7,12,3,2,4,4,3,1,2,0
7,12,4,1,3,5,2,2,3,0
7,14,1,4,2,2,3,2,1,0
7,14,2,2,5,5,1,2,2,1
7,14,3,1,6,5,3,1,4,0
7,14,4,6,1,3,2,1,5,0
7,15,1,3,3,5,2,1,5,1
7,15,2,6,5,4,1,2,3,0
7,15,3,5,1,1,3,2,4,0
7,15,4,4,6,3,1,1,2,0
10,2,1,1,4,1,2,1,2,0
10,2,2,1,6,5,3,1,5,0
10,2,3,6,5,2,3,2,3,1
10,2,4,4,4,3,1,2,4,0
10,3,1,6,6,5,2,1,3,0
10,3,2,5,2,3,1,2,1,1
10,3,3,3,1,1,2,1,1,0
10,3,4,2,5,4,3,2,5,0
10,4,1,1,2,4,3,1,3,0
10,4,2,5,1,5,2,2,2,1
10,4,3,4,3,2,1,2,4,0
10,4,4,2,4,3,1,1,2,0
10,5,1,3,4,4,1,2,3,0
10,5,2,1,1,2,2,1,5,0
10,5,3,5,3,1,3,1,1,0
10,5,4,4,5,4,2,2,4,1
10,6,1,2,5,2,3,1,1,0
10,6,2,6,2,1,2,2,2,1
10,6,3,3,6,1,2,2,5,0
10,6,4,4,3,5,1,1,4,0
10,7,1,4,2,4,1,1,2,0
10,7,2,5,4,3,3,2,3,1
10,7,3,2,3,2,2,2,5,0
10,7,4,6,6,5,3,1,1,0
10,8,1,3,2,1,3,2,2,1
10,8,2,3,5,3,1,1,4,0
10,8,3,1,1,4,3,2,3,0
10,8,4,6,5,2,1,1,5,0
10,9,1,2,1,3,2,1,3,0
10,9,2,1,3,1,1,2,1,0
10,9,3,5,6,5,3,2,4,1
10,9,4,4,4,5,2,1,1,0
10,11,1,2,2,3,3,1,4,0
10,11,2,1,5,1,1,2,1,0
10,11,3,5,6,2,1,1,3,0
10,11,4,4,3,4,3,2,2,1
10,12,1,1,5,1,1,1,3,0
10,12,2,6,2,5,2,2,4,1
10,12,3,4,1,3,2,1,5,0
10,12,4,2,4,2,3,2,2,0
10,13,1,6,6,1,1,1,2,0
10,13,2,4,3,5,2,2,3,0
10,13,3,2,1,4,3,1,1,0
10,13,4,3,2,5,1,2,4,1
10,15,1,6,5,3,2,1,1,0
10,15,2,1,1,1,2,2,4,0
10,15,3,5,6,4,1,2,2,1
10,15,4,4,2,2,3,1,3,0
14,1,1,2,2,5,3,1,2,0
14,1,2,5,4,2,3,1,5,1
14,1,3,3,6,3,1,2,3,0
14,1,4,3,1,2,2,2,4,0
14,2,1,4,5,5,3,2,1,0
14,2,2,4,4,1,1,2,2,0
14,2,3,2,1,4,2,1,4,1
14,2,4,1,3,3,2,1,3,0
14,3,1,5,2,5,1,2,4,0
14,3,2,2,5,4,2,2,5,1
14,3,3,3,4,3,3,1,1,0
14,3,4,1,2,4,1,1,3,0
14,4,1,6,4,2,2,1,1,0
14,4,2,1,1,5,1,1,4,0
14,4,3,4,3,3,3,2,3,0
14,4,4,5,6,1,3,2,2,1
14,5,1,2,3,2,2,2,1,0
14,5,2,1,5,1,3,1,3,0
14,5,3,3,4,5,1,1,2,0
14,5,4,6,6,3,2,2,5,1
14,7,1,4,2,1,1,2,5,0
14,7,2,6,1,2,2,1,3,1
14,7,3,1,6,4,1,1,2,0
14,7,4,5,4,3,2,2,1,0
14,8,1,4,6,5,2,2,2,0
14,8,2,3,5,4,1,2,1,0
14,8,3,1,1,1,3,1,5,0
14,8,4,2,3,2,3,1,4,1
14,9,1,2,5,2,2,2,4,0
14,9,2,5,3,3,1,1,2,0
14,9,3,6,4,5,1,1,1,0
14,9,4,3,2,4,3,2,4,1
14,10,1,5,1,1,3,1,4,1
14,10,2,3,2,2,1,1,2,0
14,10,3,3,5,5,2,2,3,0
14,10,4,4,6,5,2,1,1,0
14,11,1,6,1,1,2,1,1,0
14,11,2,5,6,2,3,2,5,0
14,11,3,1,5,3,3,1,2,1
14,11,4,2,4,5,1,2,4,0
14,13,1,3,3,2,2,2,4,0
14,13,2,1,3,3,3,2,1,0
14,13,3,4,1,5,3,2,2,1
14,13,4,5,2,4,1,1,3,0
14,15,1,3,6,5,3,2,1,1
14,15,2,2,1,2,2,2,1,0
14,15,3,5,5,3,1,1,4,0
14,15,4,6,4,1,1,1,5,0
17,1,1,5,3,3,3,1,5,0
17,1,2,1,6,2,1,2,3,0
17,1,3,2,5,4,1,2,1,1
17,1,4,6,4,1,2,1,4,0
17,2,1,3,1,4,3,1,2,1
17,2,2,1,1,3,1,2,1,0
17,2,3,4,3,1,2,2,4,0
17,2,4,5,5,2,2,1,3,0
17,3,1,6,2,4,2,2,5,0
17,3,2,3,4,1,1,1,3,1
17,3,3,1,3,5,3,1,1,0
17,3,4,4,6,3,1,2,2,0
17,4,1,2,5,1,1,2,2,0
17,4,2,4,4,2,3,2,4,0
17,4,3,3,3,1,3,1,5,1
17,4,4,2,6,5,2,1,1,0
17,8,1,1,6,3,2,1,5,0
17,8,2,6,2,2,1,1,1,0
17,8,3,4,4,5,1,2,3,0
17,8,4,2,1,1,3,2,4,1
17,9,1,3,4,3,2,1,1,0
17,9,2,5,1,4,2,2,3,0
17,9,3,6,3,2,3,2,2,1
17,9,4,4,5,3,3,1,4,0
17,10,1,4,5,1,1,2,1,0
17,10,2,1,3,5,1,1,2,0
17,10,3,3,2,2,2,1,5,0
17,10,4,5,1,4,3,2,5,1
17,11,1,6,3,4,3,1,3,1
17,11,2,2,1,2,2,1,5,0
17,11,3,3,4,3,1,2,4,0
17,11,4,1,6,5,2,2,1,0
17,12,1,3,1,3,1,1,4,0
17,12,2,6,5,4,3,1,2,1
17,12,3,5,4,3,2,2,3,0
17,12,4,4,6,1,2,2,1,0
17,13,1,2,2,1,3,1,2,0
17,13,2,4,4,4,1,1,5,0
17,13,3,3,6,5,3,2,3,1
17,13,4,6,5,2,2,1,4,0
17,14,1,2,2,3,3,2,2,0
17,14,2,5,4,1,2,1,1,1
17,14,3,1,5,4,3,2,4,0
17,14,4,5,2,5,1,2,5,0
17,15,1,1,2,2,1,1,3,0
17,15,2,1,3,1,2,2,2,0
17,15,3,6,3,4,1,2,1,0
17,15,4,4,1,3,3,1,5,1
21,1,1,4,2,4,1,2,1,0
21,1,2,1,3,1,3,2,2,1
21,1,3,2,2,2,3,1,4,0
21,1,4,5,1,1,2,1,3,0
21,3,1,5,4,2,1,1,2,0
21,3,2,2,3,4,1,1,3,1
21,3,3,1,1,2,2,2,5,0
21,3,4,3,6,3,3,2,1,0
21,4,1,2,4,1,1,1,4,1
21,4,2,5,5,4,2,2,3,0
21,4,3,3,3,5,3,1,1,0
21,4,4,4,1,5,3,2,5,0
21,5,1,6,4,1,3,1,4,0
21,5,2,1,5,3,1,2,1,1
21,5,3,3,6,2,2,1,3,0
21,5,4,4,2,1,1,2,2,0
21,6,1,6,2,4,2,1,1,1
21,6,2,6,1,5,3,2,3,0
21,6,3,5,2,2,1,1,5,0
21,6,4,2,6,4,2,2,4,0
21,7,1,4,1,3,2,2,3,0
21,7,2,1,6,2,3,2,5,1
21,7,3,2,4,3,2,1,2,0
21,7,4,5,3,1,1,1,4,0
21,8,1,1,4,1,2,2,4,0
21,8,2,6,5,4,3,2,1,1
21,8,3,3,6,5,1,1,2,0
21,8,4,3,3,4,3,1,3,0
21,9,1,1,1,3,1,1,4,0
21,9,2,5,3,5,2,2,1,1
21,9,3,4,2,4,1,1,5,0
21,9,4,3,5,2,3,2,2,0
21,10,1,4,4,4,3,1,3,0
21,10,2,6,2,1,1,2,1,1
21,10,3,1,1,2,2,1,4,0
21,10,4,3,6,3,1,2,2,0
21,12,1,5,3,3,3,2,4,0
21,12,2,1,1,5,1,1,2,1
21,12,3,4,5,2,2,2,1,0
21,12,4,3,4,4,2,1,5,0
21,14,1,4,5,3,1,1,2,1
21,14,2,6,3,2,1,2,5,0
21,14,3,5,5,4,3,1,1,0
21,14,4,4,6,5,2,2,3,0
21,15,1,2,1,1,1,1,1,0
21,15,2,1,4,2,3,2,5,1
21,15,3,6,3,5,2,1,4,0
21,15,4,3,5,4,2,2,4,0
23,1,1,6,5,2,2,2,1,1
23,1,2,3,5,1,1,2,2,0
23,1,3,1,6,4,1,1,4,0
23,1,4,2,3,3,3,1,3,0
23,2,1,3,3,5,1,1,1,0
23,2,2,6,1,2,3,2,4,0
23,2,3,4,4,1,3,2,1,1
23,2,4,2,2,4,2,1,5,0
23,3,1,5,6,5,1,1,2,0
23,3,2,5,5,3,2,1,5,0
23,3,3,4,1,4,3,2,1,1
23,3,4,1,2,1,2,2,3,0
23,4,1,2,5,1,1,2,5,0
23,4,2,3,4,3,3,1,4,0
23,4,3,4,6,5,2,1,3,1
23,4,4,1,3,2,2,2,4,0
23,5,1,1,4,4,3,1,5,0
23,5,2,4,6,4,1,2,4,0
23,5,3,5,3,2,1,2,1,1
23,5,4,6,2,5,2,1,2,0
23,6,1,6,4,1,3,1,3,0
23,6,2,3,2,5,1,2,2,0
23,6,3,5,5,1,3,1,5,1
23,6,4,2,3,3,2,2,2,0
23,7,1,2,4,4,2,2,1,0
23,7,2,5,1,2,1,1,1,0
23,7,3,4,3,3,3,1,3,1
23,7,4,3,6,2,3,2,5,0
23,8,1,1,1,3,2,1,4,0
23,8,2,5,2,4,2,2,2,1
23,8,3,6,5,5,1,2,5,0
23,8,4,1,5,1,3,1,2,0
23,10,1,4,6,4,3,2,2,1
23,10,2,4,5,5,3,1,4,0
23,10,3,3,3,1,2,2,5,0
23,10,4,1,4,2,1,1,3,0
23,12,1,3,6,2,2,2,2,1
23,12,2,5,2,1,3,1,5,0
23,12,3,2,4,4,1,1,4,0
23,12,4,1,1,3,3,2,3,0
23,14,1,2,3,5,2,2,1,0
23,14,2,4,5,1,3,2,5,1
23,14,3,1,5,4,3,1,3,0
23,14,4,2,6,2,1,1,1,0
23,15,1,3,1,2,2,2,4,0
23,15,2,3,2,3,1,1,2,0
23,15,3,5,4,3,3,2,2,1
23,15,4,6,3,4,1,1,1,0
25,2,1,5,4,4,2,2,4,0
25,2,2,1,1,2,3,2,1,0
25,2,3,6,6,1,1,1,1,1
25,2,4,2,2,3,2,1,5,0
25,3,1,5,1,5,1,1,2,0
25,3,2,2,6,3,3,2,3,0
25,3,3,6,3,2,1,1,1,0
25,3,4,4,5,1,2,2,3,1
25,5,1,1,3,5,2,1,4,0
25,5,2,3,3,3,1,2,1,0
25,5,3,6,2,4,2,2,3,1
25,5,4,4,4,1,3,1,2,0
25,7,1,2,5,2,1,2,4,0
25,7,2,4,4,3,1,1,3,0
25,7,3,1,2,5,3,1,2,0
25,7,4,1,6,4,2,2,1,1
25,8,1,6,2,4,1,2,5,0
25,8,2,2,6,1,3,1,3,0
25,8,3,4,3,5,3,2,1,1
25,8,4,3,1,1,2,1,4,0
25,9,1,5,2,3,2,2,2,1
25,9,2,6,1,1,1,1,5,0
25,9,3,1,4,4,2,1,5,0
25,9,4,3,6,2,3,2,3,0
25,10,1,3,5,1,3,2,4,0
25,10,2,3,3,5,2,1,3,0
25,10,3,1,6,4,1,2,5,0
25,10,4,4,2,2,3,2,1,1
25,11,1,5,4,2,1,1,5,1
25,11,2,1,3,3,3,2,4,0
25,11,3,6,6,5,2,1,3,0
25,11,4,3,1,4,2,1,2,0
25,12,1,4,1,3,1,1,1,0
25,12,2,6,5,5,1,2,1,1
25,12,3,5,2,1,3,2,4,0
25,12,4,2,4,4,2,2,5,0
25,13,1,2,1,5,1,2,5,0
25,13,2,4,2,1,2,2,3,1
25,13,3,3,6,4,3,1,1,0
25,13,4,1,5,2,1,1,2,0
25,14,1,6,4,3,3,1,3,0
25,14,2,4,3,2,2,1,1,0
25,14,3,3,2,1,2,2,2,1
25,14,4,5,6,4,3,1,4,0
25,15,1,1,5,5,2,2,4,0
25,15,2,5,1,2,3,1,5,1
25,15,3,1,4,3,1,2,1,0
25,15,4,6,3,1,1,1,3,0
28,1,1,5,1,3,1,2,1,0
28,1,2,2,6,1,3,1,5,0
28,1,3,6,2,4,3,1,4,1
28,1,4,1,2,2,2,1,3,0
28,2,1,3,6,1,1,1,2,0
28,2,2,4,1,5,1,1,3,0
28,2,3,4,4,3,2,2,1,0
28,2,4,3,3,4,2,2,4,1
28,3,1,2,2,2,2,2,5,1
28,3,2,1,3,3,3,2,2,0
28,3,3,5,4,4,1,1,3,0
28,3,4,6,5,1,3,1,1,0
28,4,1,1,1,2,3,1,4,0
28,4,2,2,3,3,1,1,4,1
28,4,3,6,5,4,1,2,2,0
28,4,4,3,6,5,2,2,1,0
28,5,1,2,1,5,1,2,3,0
28,5,2,1,4,3,3,2,1,0
28,5,3,5,3,1,2,2,5,0
28,5,4,4,2,5,3,1,2,1
28,6,1,6,4,2,1,1,1,0
28,6,2,4,2,4,3,2,5,0
28,6,3,3,5,4,2,1,3,1
28,6,4,5,6,3,2,2,4,0
28,7,1,2,3,2,2,2,3,1
28,7,2,5,5,2,1,2,5,0
28,7,3,1,6,5,2,1,4,0
28,7,4,4,1,1,3,1,2,0
28,8,1,3,5,3,2,2,3,1
28,8,2,4,1,4,1,1,2,0
28,8,3,2,2,1,3,1,1,0
28,8,4,6,3,5,1,2,5,0
28,9,1,6,6,1,1,2,4,0
28,9,2,1,4,2,2,2,2,0
28,9,3,5,4,5,3,1,4,1
28,9,4,3,2,3,2,1,5,0
28,10,1,3,6,1,3,1,2,0
28,10,2,4,3,5,2,2,4,1
28,10,3,4,2,2,1,1,3,0
28,10,4,2,2,3,3,2,1,0
28,11,1,2,1,2,3,2,5,0
28,11,2,5,3,3,2,1,1,0
28,11,3,1,4,4,1,1,3,0
28,11,4,3,1,5,2,2,4,1
28,13,1,6,4,4,3,2,3,1
28,13,2,1,6,5,1,1,5,0
28,13,3,4,1,3,2,2,1,0
28,13,4,5,3,1,3,1,4,0
31,1,1,3,2,3,1,2,2,0
31,1,2,5,2,4,2,1,3,0
31,1,3,4,4,5,2,2,5,1
31,1,4,2,3,2,3,1,1,0
31,2,1,5,1,5,3,1,1,0
31,2,2,2,4,2,1,2,4,0
31,2,3,6,1,3,2,1,4,1
31,2,4,1,5,1,1,2,5,0
31,3,1,5,5,4,1,1,2,0
31,3,2,2,2,4,3,2,4,0
31,3,3,6,6,1,2,2,3,1
31,3,4,4,3,2,2,1,5,0
31,5,1,4,6,1,1,1,2,0
31,5,2,6,5,4,2,2,1,1
31,5,3,1,4,3,1,1,3,0
31,5,4,3,5,5,3,2,4,0
31,6,1,2,6,1,3,1,1,0
31,6,2,5,1,2,2,1,4,0
31,6,3,1,2,4,3,2,5,1
31,6,4,4,2,5,1,2,3,0
31,7,1,6,2,4,1,1,1,0
31,7,2,3,4,5,1,2,2,0
31,7,3,2,5,2,3,1,3,0
31,7,4,6,3,3,2,2,2,1
31,8,1,5,1,3,2,1,4,0
31,8,2,2,6,5,3,1,2,0
31,8,3,1,3,1,2,2,1,0
31,8,4,6,6,4,3,2,5,1
31,10,1,6,5,5,1,2,4,1
31,10,2,1,1,1,2,2,3,0
31,10,3,4,6,3,3,1,1,0
31,10,4,3,3,4,2,1,2,0
31,12,1,5,2,4,1,2,1,0
31,12,2,1,6,1,3,1,2,0
31,12,3,2,6,3,1,1,5,0
31,12,4,4,4,2,2,2,2,1
31,13,1,1,5,3,3,1,5,0
31,13,2,4,4,5,1,2,4,0
31,13,3,6,2,1,1,1,3,0
31,13,4,5,3,4,2,2,1,1
31,14,1,1,1,3,1,1,5,0
31,14,2,5,6,3,2,2,4,1
31,14,3,3,4,1,3,1,3,0
31,14,4,2,2,5,2,2,2,0
31,15,1,4,3,5,3,2,3,1
31,15,2,6,4,5,1,1,1,0
31,15,3,2,1,2,3,1,2,0
31,15,4,3,5,2,2,2,5,0
33,1,1,5,1,3,3,2,3,0
33,1,2,2,4,4,3,1,2,0
33,1,3,4,3,1,1,1,4,1
33,1,4,3,2,5,1,2,3,0
33,2,1,5,5,2,1,1,2,0
33,2,2,1,6,5,2,2,5,1
33,2,3,6,4,4,3,1,1,0
33,2,4,2,3,2,2,2,4,0
33,4,1,3,4,2,3,2,4,0
33,4,2,2,6,1,1,2,5,0
33,4,3,4,3,4,2,1,3,1
33,4,4,6,2,3,3,1,2,0
33,5,1,6,3,1,1,2,3,0
33,5,2,5,5,3,1,2,1,1
33,5,3,3,6,5,2,1,2,0
33,5,4,1,5,1,2,1,4,0
33,6,1,5,2,4,2,2,1,0
33,6,2,1,4,2,2,2,4,0
33,6,3,2,1,2,3,1,5,1
33,6,4,1,6,3,1,1,3,0
33,7,1,4,5,2,3,1,5,0
33,7,2,5,1,4,1,2,4,1
33,7,3,4,3,5,2,1,1,0
33,7,4,2,4,1,3,2,2,0
33,9,1,4,6,5,3,1,4,0
33,9,2,2,5,2,1,1,1,0
33,9,3,2,2,3,2,2,3,1
33,9,4,6,3,4,2,2,5,0
33,10,1,2,3,1,1,1,4,0
33,10,2,1,4,4,3,2,5,0
33,10,3,3,2,2,2,2,3,1
33,10,4,5,5,5,2,2,1,0
33,11,1,2,1,3,1,1,5,0
33,11,2,3,3,1,3,2,5,0
33,11,3,4,6,5,3,1,3,1
33,11,4,1,1,4,2,1,1,0
33,12,1,1,3,2,2,1,2,0
33,12,2,3,6,4,1,2,4,1
33,12,3,4,2,5,3,1,3,0
33,12,4,6,4,1,1,2,2,0
33,13,1,5,5,3,2,2,5,0
33,13,2,2,5,5,1,2,1,0
33,13,3,5,4,5,3,1,2,0
33,13,4,6,2,2,1,1,4,1
33,14,1,4,2,2,3,2,1,0
33,14,2,1,1,4,2,2,3,0
33,14,3,6,6,3,2,1,4,1
33,14,4,5,3,1,1,1,5,0
35,2,1,5,3,5,1,2,3,1
35,2,2,1,1,2,1,2,5,0
35,2,3,3,6,1,2,1,1,0
35,2,4,5,4,3,3,1,2,0
35,3,1,2,2,1,3,1,5,0
35,3,2,3,5,2,1,2,3,0
35,3,3,2,4,3,2,2,4,1
35,3,4,6,3,4,3,1,4,0
35,4,1,4,3,5,2,1,2,0
35,4,2,1,5,4,1,2,1,1
35,4,3,5,6,3,2,2,3,0
35,4,4,3,2,2,3,1,5,0
35,5,1,4,4,1,1,1,2,0
35,5,2,6,5,5,2,1,1,1
35,5,3,1,2,3,1,2,3,0
35,5,4,4,1,4,3,2,4,0
35,6,1,3,3,4,1,2,2,0
35,6,2,2,1,2,2,1,5,0
35,6,3,5,6,1,3,2,1,1
35,6,4,1,4,3,1,1,4,0
35,8,1,2,2,5,2,2,4,0
35,8,2,6,5,3,2,1,3,0
35,8,3,4,6,2,1,2,1,1
35,8,4,6,1,4,1,1,5,0
35,9,1,3,2,3,1,1,4,0
35,9,2,6,4,2,3,1,1,0
35,9,3,3,3,1,2,2,2,0
35,9,4,2,5,4,3,2,5,1
35,10,1,1,4,5,1,1,5,0
35,10,2,2,6,1,2,1,2,0
35,10,3,6,2,3,2,2,3,0
35,10,4,5,1,2,2,2,1,1
35,11,1,4,2,1,2,2,4,0
35,11,2,2,3,3,1,1,3,0
35,11,3,3,5,4,3,2,2,1
35,11,4,3,6,5,3,1,1,0
35,13,1,4,5,3,1,2,5,1
35,13,2,3,1,4,1,2,1,0
35,13,3,2,6,2,3,1,5,0
35,13,4,1,3,1,2,1,3,0
35,14,1,4,5,4,3,2,4,0
35,14,2,6,2,2,2,1,2,0
35,14,3,5,4,5,3,2,3,1
35,14,4,2,3,2,1,1,1,0
35,15,1,6,6,1,1,2,2,0
35,15,2,5,4,5,2,2,5,1
35,15,3,6,1,3,1,1,1,0
35,15,4,3,2,2,3,1,3,0
37,1,1,3,5,5,1,1,4,0
37,1,2,6,3,2,2,2,5,1
37,1,3,4,1,1,1,2,3,0
37,1,4,2,2,5,3,1,2,0
37,2,1,4,3,2,1,2,1,0
37,2,2,1,6,5,3,1,4,0
37,2,3,3,5,3,3,2,3,1
37,2,4,5,4,4,2,1,5,0
37,3,1,1,1,1,2,1,1,0
37,3,2,2,6,3,2,1,2,0
37,3,3,5,4,5,3,2,1,1
37,3,4,6,2,4,1,2,4,0
37,7,1,3,2,1,1,2,4,0
37,7,2,4,4,5,1,1,5,0
37,7,3,6,4,3,2,2,1,0
37,7,4,1,3,1,3,1,3,1
37,8,1,2,3,2,1,1,4,0
37,8,2,6,5,4,2,1,3,0
37,8,3,1,1,5,2,2,2,0
37,8,4,4,6,4,3,2,5,1
37,9,1,5,6,5,2,1,1,0
37,9,2,5,4,1,1,2,4,0
37,9,3,2,1,3,3,1,5,1
37,9,4,3,2,2,1,2,5,0
37,10,1,5,6,1,1,2,3,0
37,10,2,4,4,2,2,1,1,0
37,10,3,1,6,4,3,2,4,1
37,10,4,5,2,5,1,1,5,0
37,11,1,6,1,5,3,2,2,1
37,11,2,3,5,1,1,1,3,0
37,11,3,4,2,3,2,1,1,0
37,11,4,2,4,4,2,2,2,0
37,12,1,2,3,4,2,2,5,1
37,12,2,1,5,5,1,2,1,0
37,12,3,6,1,2,3,1,3,0
37,12,4,3,6,3,3,1,4,0
37,13,1,4,6,4,3,2,5,1
37,13,2,2,2,2,3,2,3,0
37,13,3,6,1,1,2,1,4,0
37,13,4,5,3,3,1,1,2,0
37,14,1,1,4,3,1,2,3,0
37,14,2,3,6,2,3,1,2,1
37,14,3,1,5,1,2,1,1,0
37,14,4,5,2,4,2,2,5,0
37,15,1,3,4,5,1,2,4,0
37,15,2,2,1,2,1,1,5,0
37,15,3,4,1,4,3,2,1,1
37,15,4,6,3,5,2,1,1,0
40,1,1,6,4,1,2,2,2,0
40,1,2,6,3,4,3,1,5,0
40,1,3,5,6,5,1,1,3,0
40,1,4,3,2,3,2,2,1,1
40,2,1,4,6,1,2,1,4,0
40,2,2,2,1,3,3,1,2,0
40,2,3,5,5,4,3,2,3,0
40,2,4,4,5,2,1,2,1,1
40,4,1,1,5,1,3,1,5,0
40,4,2,2,1,4,1,2,2,1
40,4,3,4,2,5,1,2,2,0
40,4,4,5,6,3,2,1,5,0
40,5,1,3,1,4,1,1,3,0
40,5,2,6,4,1,2,1,1,1
40,5,3,1,6,2,2,2,2,0
40,5,4,5,3,5,3,2,4,0
40,6,1,2,5,1,3,1,4,0
40,6,2,4,3,2,2,2,5,0
40,6,3,2,2,3,1,2,3,0
40,6,4,6,1,4,2,1,1,1
